account_id,generator_family,top3_cosine_mean,max_cosine,top3_jaccard_mean,max_jaccard,semantic_without_literal_reuse,mutual_knn_weighted_degree,mutual_knn_clustering,mutual_knn_component_size_normalized
gemini_flash_lite_coordinated_00,google_gemini,0.4150089693729379,0.443614736994113,0.440801955281543,0.4726027397260274,0.23396119690785414,1.2450269081188137,0.0,0.11538461538461539
gemini_flash_lite_coordinated_01,google_gemini,0.17515344504186706,0.1861852365131206,0.24237797167086894,0.254957507082153,0.14063533155578226,0.5254603351256012,0.3333333333333333,0.09615384615384616
gemini_flash_lite_coordinated_02,google_gemini,0.3127097853346485,0.33019622607522875,0.3489687803797546,0.3525641025641026,0.2137808899589622,0.0,0.0,0.019230769230769232
gemini_flash_lite_coordinated_03,google_gemini,0.3094867887524732,0.34525492637166016,0.33156896955415066,0.35782747603833864,0.22171322747828656,0.9284603662574196,1.0,0.07692307692307693
gemini_flash_lite_coordinated_04,google_gemini,0.39591148160830114,0.4193536175457309,0.423775620694632,0.43137254901960786,0.2443819357421673,0.8065761016776956,0.0,0.11538461538461539
gemini_flash_lite_coordinated_05,google_gemini,0.1566978509818037,0.1861852365131206,0.22122093844233834,0.24464831804281345,0.14063533155578226,0.1861852365131206,0.0,0.09615384615384616
gemini_flash_lite_coordinated_06,google_gemini,0.3909811791775533,0.41578057268027846,0.40873335367840696,0.436426116838488,0.23460972753119164,0.8135067826129256,0.0,0.11538461538461539
gemini_flash_lite_coordinated_07,google_gemini,0.28534435663682595,0.29646000567928177,0.33644566874860166,0.35798816568047337,0.190330832048533,0.8560330699104778,1.0,0.07692307692307693
gemini_flash_lite_coordinated_08,google_gemini,0.29941396310245266,0.31724606411185824,0.2978176815858901,0.3002680965147453,0.22267406668013895,0.0,0.0,0.019230769230769232
gemini_flash_lite_coordinated_09,google_gemini,0.1797848601322384,0.18564448676676434,0.24050965169532057,0.254957507082153,0.1417049632716722,0.5393545803967152,0.6666666666666666,0.09615384615384616
gemini_flash_lite_coordinated_10,google_gemini,0.370728205249337,0.39337451300471316,0.3917141731553578,0.4068965517241379,0.23331178012693335,0.0,0.0,0.019230769230769232
gemini_flash_lite_coordinated_11,google_gemini,0.25226861437726417,0.26234385016463313,0.31190587626061506,0.32285714285714284,0.1776442642543373,0.0,0.0,0.019230769230769232
gemini_flash_lite_coordinated_12,google_gemini,0.4051321107747095,0.4193536175457309,0.4267925312895675,0.436426116838488,0.2443819357421673,1.2153963323241286,0.0,0.11538461538461539
gemini_flash_lite_coordinated_13,google_gemini,0.15850447113155638,0.17130195205811133,0.21995571169632208,0.22988505747126436,0.13192219296429264,0.4755134133946691,0.6666666666666666,0.09615384615384616
gemini_flash_lite_coordinated_14,google_gemini,0.29686800283984344,0.30177846175392925,0.3289969849921475,0.3383233532934132,0.2033724416167784,0.0,0.0,0.019230769230769232
gemini_flash_lite_coordinated_15,google_gemini,0.29881641516676544,0.314098624097445,0.33721084283619795,0.3495440729483283,0.2043073117229581,0.8964492455002964,1.0,0.07692307692307693
gemini_flash_lite_coordinated_16,google_gemini,0.38714128342318715,0.4030956662789505,0.4225739154549637,0.4429065743944637,0.2245619455740866,0.7903181504109151,0.0,0.11538461538461539
gemini_flash_lite_coordinated_17,google_gemini,0.1627767996090224,0.18564448676676434,0.2221050273016221,0.23668639053254437,0.1417049632716722,0.3329889910626812,1.0,0.09615384615384616
gemini_flash_lite_coordinated_18,google_gemini,0.4180579998196876,0.443614736994113,0.44501650485396155,0.4726027397260274,0.23396119690785414,0.8593953096743915,0.0,0.11538461538461539
gemini_flash_lite_coordinated_19,google_gemini,0.318604518716129,0.34525492637166016,0.35511990488904677,0.35798816568047337,0.22171322747828656,0.9558135561483869,1.0,0.07692307692307693
gemini_flash_lite_organic_00,google_gemini,0.2513052715176181,0.26633430342531306,0.24527886770619092,0.25,0.20166304959096812,0.7539158145528543,0.0,0.19230769230769232
gemini_flash_lite_organic_01,google_gemini,0.1757869523381446,0.17914650583026664,0.1861722375038204,0.19767441860465115,0.14784402497282756,0.0,0.0,0.019230769230769232
gemini_flash_lite_organic_02,google_gemini,0.26051552873615075,0.2923625342193435,0.25330744892211104,0.2743362831858407,0.21215688323881565,0.5522558856680412,0.0,0.19230769230769232
gemini_flash_lite_organic_03,google_gemini,0.2667647050335045,0.3242420777607371,0.28001061834910473,0.3212121212121212,0.22009159217698515,0.8002941151005134,0.3333333333333333,0.19230769230769232
gemini_flash_lite_organic_04,google_gemini,0.20987009519503885,0.21185087972477618,0.20485434551148096,0.22081218274111675,0.17265598628623446,0.0,0.0,0.019230769230769232
gemini_flash_lite_organic_05,google_gemini,0.1488486655246508,0.16100100754297794,0.1663852351620697,0.17191977077363896,0.13332175123186427,0.16100100754297794,0.0,0.038461538461538464
gemini_flash_lite_organic_06,google_gemini,0.26098912950048364,0.291480310852914,0.19883053173640688,0.20728291316526612,0.23154210608597675,0.5538183984358617,0.0,0.25
